episode,source_url,source
077,https://vimeo.com/1179746589/f748894957?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
078,https://vimeo.com/1179746743/873191c854?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
079,https://vimeo.com/1179746846/9bcbfb97c0?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
080,https://vimeo.com/1179746991/f6b3bbc7b9?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
081,https://vimeo.com/1179747189/a87edb4af9?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
082,https://vimeo.com/1179747333/c5d76946d3?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
083,https://vimeo.com/1179747501/f981ab4701?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
084,https://vimeo.com/1179747596/8bb037d689?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
085,https://vimeo.com/1179747730/b29245f93c?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
086,https://vimeo.com/1179747904/fe9752df4e?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
087,https://vimeo.com/1179748026/6892c4f5c8?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
088,https://vimeo.com/1179748183/88a4905149?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
089,https://vimeo.com/1179748311/3f756c3ad7?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
090,https://vimeo.com/1179748453/8d3454a7cc?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
091,https://vimeo.com/1179748598/b03d830b2a?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
092,https://vimeo.com/1179748781/4745c9eed4?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
093,https://vimeo.com/1179749003/e31aca05e6?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
094,https://vimeo.com/1179749176/b8d726db42?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
095,https://vimeo.com/1179749319/bc8f15f24e?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
096,https://vimeo.com/1179749511/a8d0c8f899?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
097,https://vimeo.com/1179749672/7276475346?share=copy&fl=sv&fe=ci,"official hejustinsun.com Framer CMS / Vimeo"
